0;bwdyggis;tbym aby;bzwwm;gfovdg;649839574;685134856;www.gemowk.com;bwdyggis.tbymaby@gmail.com;bwdyggis.tbymaby@ece.fr;inconnu.jpg;Autre
1;ukzgokxkg;lwnsxyrxf;cibi;uty;655453686;646706676;www.qhewvl.com;ukzgokxkg.lwnsxyrxf@gmail.com;ukzgokxkg.lwnsxyrxf@ece.fr;inconnu.jpg;Collegue
2;uey;otgmaui;otcp;qir;669246982;666126365;www.auexo.com;uey.otgmaui@gmail.com;uey.otgmaui@ece.fr;inconnu.jpg;Collegue
3;mtjkkrb;eub;nbawwr;jktxqtcunr;631972989;671952314;www.cxi.com;mtjkkrb.eub@gmail.com;mtjkkrb.eub@ece.fr;inconnu.jpg;Famille
4;coucou;miqgnqkez;gmgfsv;jeiqbs;675732641;695348867;www.mqzxqwhgu.com;shex.miqgnqkez@gmail.com;shex.miqgnqkez@ece.fr;inconnu.jpg;Famille
5;owen;cornec;mctivioao;moiltqgw;611597058;616475918;www.uodpdtomwh.com;stl.yfkh@gmail.com;stl.yfkh@ece.fr;inconnu.jpg;Autre
6;khq;pmkpnfbny;dcd;viyodbndl;621243319;615147526;www.jvknfsp.com;khq.pmkpnfbny@gmail.com;khq.pmkpnfbny@ece.fr;inconnu.jpg;Autre
7;Lucie;ttayzdop;wgozviecf;ptosili;663612369;635839136;www.jklqzswnd.com;gietymzj.ttayzdop@gmail.com;gietymzj.ttayzdop@ece.fr;inconnu.jpg;Autre
8;hveftdt;toaanfb;ogso;bvfopykayr;635272391;681782316;www.vlha.com;hveftdt.toaanfb@gmail.com;hveftdt.toaanfb@ece.fr;inconnu.jpg;Collegue
9;uudma;rcboie;gndqzg;xvmbomymy;633426998;638703392;www.gbpumqth.com;uudma.rcboie@gmail.com;uudma.rcboie@ece.fr;inconnu.jpg;Amis
10;pouet;me;ress;ress;0;0;www.;@gmail.com;@ece.fr;inconnu.jpg;ou
11;owen;cornec;Enter the address;Enter the company address;0;0;www.;@gmail.com;@ece.fr;inconnu.jpg;Enter a group
12;lucie;teilhac;Enter the address;Enter the company address;0;0;www.;@gmail.com;@ece.fr;inconnu.jpg;Enter a group
13;Owen;cornec;Enter the address;Enter the company address;0;0;www.;@gmail.com;@ece.fr;C:\Users\Jo\Documents\Canada 2012\Photos\Photos de Tous\moma.jpg;Enter a group
14;lucie;teilhac;Enter the address;Enter the company address;0;0;www.;@gmail.com;@ece.fr;inconnu.jpg;Enter a group
15;simon;burgalat;Enter the address;Enter the company address;0;0;www.;@gmail.com;@ece.fr;inconnu.jpg;Enter a group
16;Enter the name;Enter the last name;Enter the address;Enter the company address;0;0;www.;@gmail.com;@ece.fr;inconnu.jpg;Enter a group
17;Enter the name;Enter the last name;Enter the address;Enter the company address;0;0;www.;@gmail.com;@ece.fr;inconnu.jpg;Enter a group
18;marie;morin;Enter the address;Enter the company address;0;0;www.;@gmail.com;@ece.fr;inconnu.jpg;Enter a group
19;lucie;zzzzzzzzzzzz;Enter the address;Enter the company address;0;0;www.;@gmail.com;@ece.fr;C:\Users\Jo\Documents\Canada 2012\Photos\Photos de Vincent\v_chutes04.jpg;Enter a group
20;lucie;zzzzzzzzzzzzzzzzzzzzzzzzzaaaaaa;Enter the address;Enter the company address;0;0;www.;@gmail.com;@ece.fr;C:\Users\Jo\Documents\Canada 2012\Photos\Photos de Lucie\Appart_Simon.jpg;Enter a group
